no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"62","null","null","1.0","Material","2024-09-23T14:59:14.367","2024-09-23T14:59:14.369","200000041054","2","1","Хлоробутиловий силіконовий еластомер","Chlorobutyl Silicone Elastomer","ua_25_62","false",null,null,null
"63","null","null","1.0","Material","2024-09-23T14:59:14.371","2024-09-23T14:59:14.373","200000033696","3","1","Етиленпропілендієновий мономерний каучук","Ethylene propylene diene monomer rubber","ua_25_63","false","Етиленпропілендієновий мономерний каучук","EPDM rubber",null
"64","null","null","1.0","Material","2024-09-23T14:59:14.375","2024-09-23T14:59:14.376","200000033785","3","1","Поліефірсульфон","PolyEtherSulfone","ua_25_64","false","Поліефірсульфон","PES",null
"65","null","null","1.0","Material","2024-09-23T14:59:14.378","2024-09-23T14:59:14.380","200000033786","2","1","Сополімер поліолефіну та стиролу","Polyolefin Styrene copolymer","ua_25_65","false",null,null,null
"66","null","null","1.0","Material","2024-09-23T14:59:14.383","2024-09-23T14:59:14.384","200000033791","2","1","Силікат алюмінію та натрію","Aluminium Sodium Silicate","ua_25_66","false",null,null,null
"67","null","null","1.0","Material","2024-09-23T14:59:14.386","2024-09-23T14:59:14.388","200000041055","2","1","Термопластичні вулканізати","Thermoplastic Vulcanizates","ua_25_67","false","Термопластичні вулканізати","TPV",null
"68","null","null","1.0","Material","2024-09-23T14:59:14.390","2024-09-23T14:59:14.391","200000041066","2","1","Свинець","Lead","ua_25_68","false",null,null,null
"69","null","null","1.0","Material","2024-09-23T14:59:14.393","2024-09-23T14:59:14.395","200000041070","3","1","Бутилкаучук","Butyl Rubber","ua_25_69","false","Ізобутен-ізопреновий каучук","IIR",null
"70","null","null","1.0","Material","2024-09-23T14:59:14.397","2024-09-23T14:59:14.399","200000041079","2","1","Етилен","Ethylene","ua_25_70","false",null,null,null
"71","null","null","1.0","Material","2024-09-23T14:59:14.401","2024-09-23T14:59:14.403","200000041082","3","4","Папір з поліефірним покриттям","Polyester Coated Paper","ua_25_71","false",null,null,null
"72","null","null","1.0","Material","2024-09-23T14:59:14.404","2024-09-23T14:59:14.406","200000041095","2","1","Поліетилен дуже низької щільності","Very Low Density PolyEthylene","ua_25_72","false","Поліетилен дуже низької щільності","VLDPE",null
"73","null","null","1.0","Material","2025-03-28T13:23:03.186","2025-03-28T13:23:03.186",null,"1","1","*металізована фольга",null,"ua_25_73","true",null,null,null
"74","null","null","1.0","Material","2025-03-28T13:23:03.186","2025-03-28T13:23:03.186",null,"1","1","*циклоолефін сополімер",null,"ua_25_74","true",null,null,null
"75","null","null","1.0","Material","2025-03-28T13:23:03.186","2025-03-28T13:23:03.186",null,"1","1","*пластмаса",null,"ua_25_75","true",null,null,null
"76","null","null","1.0","Material","2025-03-28T13:23:03.186","2025-03-28T13:23:03.186",null,"1","1","*комбінований матеріал (алюмокомплекс)",null,"ua_25_76","true",null,null,null
"77","null","null","1.0","Material","2025-03-28T13:23:03.186","2025-03-28T13:23:03.186",null,"1","1","*бромбутил",null,"ua_25_77","true",null,null,null
"78","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*резина",null,"ua_25_78","true",null,null,null
"79","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*багатошарова фольга",null,"ua_25_79","true",null,null,null
"80","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*поліетиленфталат",null,"ua_25_80","true",null,null,null
"81","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*ударостійкий пластик, заповнений спіненим матеріалом",null,"ua_25_81","true",null,null,null
"82","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*комбінований матеріал",null,"ua_25_82","true",null,null,null
"83","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*гофрокартон",null,"ua_25_83","true",null,null,null
"84","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*бромбутилова гума",null,"ua_25_84","true",null,null,null
"85","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*силіконізований бромбутиловий еластомер із покриттям FluroTec",null,"ua_25_85","true",null,null,null
