no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
154,1.0,Language,2023-10-05T16:19:18.612,2023-11-14T17:33:57.728,100000072271,1,1,Уйгурська,Uighur,ua_19_154,false,null,null,null
155,1.0,Language,2023-10-05T16:19:18.615,2023-11-14T17:33:57.730,100000072272,1,1,Узбецька,Uzbek,ua_19_155,false,null,null,null
156,1.0,Language,2023-10-05T16:19:18.618,2023-11-14T17:33:57.947,100000072273,1,1,Валлонська,Walloon,ua_19_156,false,null,null,null
157,1.0,Language,2023-10-05T16:19:18.620,2023-11-14T17:33:57.703,100000072274,1,1,Йоруба,Yoruba,ua_19_157,false,null,null,null
158,1.0,Language,2023-10-05T16:19:18.623,2023-11-14T17:33:57.943,100000072281,1,1,Самоанська,Samoan,ua_19_158,false,null,null,null
159,1.0,Language,2023-10-05T16:19:18.625,2023-11-14T17:33:58.078,100000072282,1,1,Шона,Shona,ua_19_159,false,null,null,null
160,1.0,Language,2023-10-05T16:19:18.627,2023-11-14T17:33:57.808,100000072283,null,1,Сомалійська,Somali,ua_19_160,false,null,null,null
161,1.0,Language,2023-10-05T16:19:18.629,2023-11-14T17:33:57.851,100000072284,1,1,Сото, південна,Sotho, Southern,ua_19_161,false,null,null,null
162,1.0,Language,2023-10-05T16:19:18.632,2023-11-14T17:33:57.810,100000072285,1,1,Сардинська,Sardinian,ua_19_162,false,null,null,null
163,1.0,Language,2023-10-05T16:19:18.634,2023-11-14T17:33:57.722,100000072286,1,1,Сваті,Swati,ua_19_163,false,null,null,null
164,1.0,Language,2023-10-05T16:19:18.640,2023-11-14T17:33:57.979,100000072287,2,1,Суахілі,Swahili,ua_19_164,false,null,null,null
165,1.0,Language,2023-10-05T16:19:18.644,2023-11-14T17:33:57.929,100000072288,1,1,Шведська,Swedish,ua_19_165,false,null,null,null
166,1.0,Language,2023-10-05T16:19:18.648,2023-11-14T17:33:57.799,100000072289,1,1,Тамільська,Tamil,ua_19_166,false,null,null,null
